iter	Passed	Remaining
0	56	11154
1	56	5600
2	56	3739
3	57	2818
4	57	2259
5	58	1886
6	58	1618
7	59	1417
8	59	1261
9	59	1136
10	60	1034
11	60	950
12	61	878
13	61	816
14	61	762
15	62	715
16	62	674
17	62	636
18	63	603
19	63	573
20	64	545
21	64	521
22	64	499
23	66	484
24	66	467
25	67	450
26	67	434
27	68	418
28	68	405
29	69	393
30	70	382
31	71	373
32	71	363
33	72	353
34	73	345
35	73	335
36	74	326
37	74	317
38	74	309
39	75	303
40	76	295
41	76	289
42	77	284
43	78	277
44	78	271
45	79	265
46	80	261
47	80	255
48	81	250
49	81	245
50	82	241
51	83	236
52	83	232
53	84	228
54	85	224
55	85	219
56	86	216
57	86	212
58	87	208
59	87	205
60	88	201
61	88	197
62	89	194
63	89	190
64	89	186
65	90	183
66	91	180
67	91	177
68	92	174
69	92	171
70	93	169
71	93	166
72	94	164
73	95	161
74	95	159
75	95	156
76	96	154
77	97	151
78	97	149
79	98	147
80	98	145
81	99	142
82	99	140
83	100	138
84	100	136
85	101	134
86	101	132
87	102	130
88	102	128
89	103	126
90	104	125
91	105	123
92	105	121
93	105	119
94	106	117
95	107	116
96	107	114
97	107	112
98	108	110
99	109	109
100	109	107
101	110	105
102	110	104
103	111	102
104	111	100
105	112	99
106	112	97
107	113	96
108	113	94
109	114	93
110	114	91
111	115	90
112	115	88
113	116	87
114	116	86
115	117	84
116	117	83
117	118	82
118	118	80
119	119	79
120	119	77
121	119	76
122	120	75
123	120	74
124	121	72
125	121	71
126	122	70
127	122	68
128	122	67
129	123	66
130	124	65
131	124	64
132	124	62
133	125	61
134	125	60
135	125	59
136	126	58
137	126	56
138	126	55
139	127	54
140	127	53
141	127	52
142	128	51
143	129	50
144	129	49
145	129	48
146	130	47
147	130	45
148	131	44
149	131	43
150	132	42
151	132	41
152	132	40
153	133	39
154	133	38
155	134	37
156	135	37
157	135	36
158	135	35
159	136	34
160	136	33
161	137	32
162	137	31
163	138	30
164	138	29
165	139	28
166	139	27
167	139	26
168	140	25
169	140	24
170	141	23
171	142	23
172	142	22
173	143	21
174	143	20
175	144	19
176	144	18
177	145	17
178	145	17
179	146	16
180	146	15
181	147	14
182	148	13
183	148	12
184	149	12
185	149	11
186	150	10
187	150	9
188	151	8
189	151	7
190	152	7
191	152	6
192	153	5
193	153	4
194	153	3
195	154	3
196	154	2
197	155	1
198	156	0
199	156	0
